epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,5018.84,0.84642,0.53842,0.99682,0.87776,0.80435,0.84381,0.58498,1.085,0.68717,1.07384,3.18276e-05,3.18276e-05,3.18276e-05
86,5077.82,0.84772,0.53485,0.99758,0.87923,0.80343,0.8454,0.58673,1.0826,0.68362,1.07277,2.99565e-05,2.99565e-05,2.99565e-05
87,5136.57,0.84615,0.53595,0.99735,0.86724,0.80934,0.84403,0.58655,1.08408,0.68517,1.07321,2.80854e-05,2.80854e-05,2.80854e-05
88,5195.36,0.83477,0.53256,0.99368,0.87649,0.80764,0.84788,0.58752,1.08458,0.68377,1.07327,2.62143e-05,2.62143e-05,2.62143e-05
89,5254.5,0.83985,0.5325,0.99246,0.87793,0.80636,0.849,0.58887,1.08615,0.6775,1.07427,2.43432e-05,2.43432e-05,2.43432e-05
90,5313.37,0.84083,0.5321,0.99266,0.88101,0.80511,0.84832,0.58848,1.08415,0.67977,1.07271,2.24721e-05,2.24721e-05,2.24721e-05
91,5400.95,0.85326,0.46994,0.99384,0.87019,0.80456,0.84445,0.58457,1.08627,0.67831,1.07716,2.0601e-05,2.0601e-05,2.0601e-05
92,5458.51,0.83882,0.45644,0.98541,0.87251,0.80789,0.84545,0.58599,1.08606,0.68201,1.07662,1.87299e-05,1.87299e-05,1.87299e-05
93,5515.93,0.83897,0.45291,0.98503,0.87413,0.80211,0.84256,0.5834,1.08481,0.689,1.07541,1.68588e-05,1.68588e-05,1.68588e-05
94,5573.33,0.83681,0.45246,0.98677,0.8747,0.80419,0.84335,0.58464,1.08341,0.68668,1.07635,1.49877e-05,1.49877e-05,1.49877e-05
95,5630.46,0.83169,0.44861,0.98476,0.87058,0.81035,0.84597,0.58512,1.08301,0.68258,1.07601,1.31166e-05,1.31166e-05,1.31166e-05
96,5687.66,0.82839,0.44478,0.98211,0.87663,0.80161,0.84422,0.58588,1.08223,0.68356,1.07577,1.12455e-05,1.12455e-05,1.12455e-05
97,5745.01,0.82568,0.44305,0.98042,0.87728,0.79912,0.84341,0.58485,1.08178,0.68328,1.07609,9.3744e-06,9.3744e-06,9.3744e-06
98,5802.23,0.82468,0.44212,0.97994,0.87979,0.80006,0.84639,0.58631,1.08074,0.68047,1.07512,7.5033e-06,7.5033e-06,7.5033e-06
99,5859.29,0.82631,0.44137,0.98142,0.86967,0.80634,0.84593,0.58495,1.08113,0.68326,1.07566,5.6322e-06,5.6322e-06,5.6322e-06
100,5916.59,0.82228,0.44228,0.98041,0.86603,0.80956,0.84646,0.58606,1.08134,0.68318,1.07621,3.7611e-06,3.7611e-06,3.7611e-06
